"StationName","StationLocation","DateTime","RecordId","RoadSurfaceTemperature","AirTemperature"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:29:00 AM","6584395","50.33","47.29"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 14 10:30:00 AM","6584396","50.33","47.57"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:18:00 AM","5284454","50.22","48.67"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:19:00 AM","5284455","50.27","48.70"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:20:00 AM","5284456","50.32","48.76"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:21:00 AM","5284457","50.37","48.80"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:22:00 AM","5284458","50.41","48.82"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:23:00 AM","5284459","50.45","48.88"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:24:00 AM","5284460","50.49","48.87"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:25:00 AM","5284461","50.50","48.91"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:26:00 AM","5284462","50.53","48.96"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:27:00 AM","5284463","50.55","49.00"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:28:00 AM","5284464","50.58","48.99"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:29:00 AM","5284465","50.61","49.01"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:30:00 AM","5284466","50.65","49.06"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:31:00 AM","5284467","50.67","49.08"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:32:00 AM","5284468","50.70","49.02"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:26:00 AM","5284462","50.53","48.96"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:27:00 AM","5284463","50.55","49.00"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:28:00 AM","5284464","50.58","48.99"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:29:00 AM","5284465","50.61","49.01"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:30:00 AM","5284466","50.65","49.06"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:31:00 AM","5284467","50.67","49.08"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:32:00 AM","5284468","50.70","49.02"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:33:00 AM","5284469","50.73","49.00"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 14 10:34:00 AM","5284470","50.74","49.03"
"AlbroPlaceAirportWay","POINT (-122.314114 47.547426)","2026 Apr 15 08:37:00 AM","3907816","47.80","42.30"
"AlbroPlaceAirportWay","POINT (-122.314114 47.547426)","2026 Apr 15 08:38:00 AM","3907817","47.80","42.33"
"AlbroPlaceAirportWay","POINT (-122.314114 47.547426)","2026 Apr 15 08:39:00 AM","3907818","47.79","42.34"
"AlbroPlaceAirportWay","POINT (-122.314114 47.547426)","2026 Apr 15 08:40:00 AM","3907819","47.78","42.26"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:26:00 AM","5285782","42.50","42.61"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:27:00 AM","5285783","42.50","42.57"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:28:00 AM","5285784","42.50","42.44"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:29:00 AM","5285785","42.51","42.46"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:30:00 AM","5285786","42.52","42.51"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:31:00 AM","5285787","42.54","42.60"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:32:00 AM","5285788","42.54","42.81"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:33:00 AM","5285789","42.54","42.98"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:34:00 AM","5285790","42.54","42.94"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:35:00 AM","5285791","42.55","42.84"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:36:00 AM","5285792","42.56","42.37"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:37:00 AM","5285793","42.57","42.25"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:38:00 AM","5285794","42.57","42.15"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:39:00 AM","5285795","42.56","42.06"
"SpokaneSwingBridge","POINT (-122.351743 47.571389)","2026 Apr 15 08:40:00 AM","5285796","42.56","41.84"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:26:00 AM","7011680","41.81","40.21"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:27:00 AM","7011681","41.81","40.14"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:28:00 AM","7011682","41.81","40.13"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:29:00 AM","7011683","41.81","40.13"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:30:00 AM","7011684","41.81","40.09"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:31:00 AM","7011685","41.81","40.08"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:32:00 AM","7011686","41.81","40.05"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:33:00 AM","7011687","41.82","40.04"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:34:00 AM","7011688","41.85","39.97"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:35:00 AM","7011689","41.86","39.89"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:36:00 AM","7011690","41.89","39.82"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:37:00 AM","7011691","41.89","39.75"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:38:00 AM","7011692","41.89","39.71"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:39:00 AM","7011693","41.89","39.66"
"MagnoliaBridge","POINT (-122.387341 47.633454)","2026 Apr 15 08:40:00 AM","7011694","41.89","39.61"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:16:00 AM","5285832","42.82","40.46"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:17:00 AM","5285833","42.82","40.36"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:18:00 AM","5285834","42.82","40.40"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:19:00 AM","5285835","42.82","40.42"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:20:00 AM","5285836","42.82","40.38"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:21:00 AM","5285837","42.82","40.34"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:22:00 AM","5285838","42.81","40.25"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:23:00 AM","5285839","42.80","40.15"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:24:00 AM","5285840","42.79","40.14"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:25:00 AM","5285841","42.79","40.22"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:26:00 AM","5285842","42.78","40.29"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:27:00 AM","5285843","42.78","40.37"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:28:00 AM","5285844","42.78","40.44"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:29:00 AM","5285845","42.78","40.43"
"HarborAveUpperNorthBridge","POINT (-122.370873 47.571695)","2026 Apr 15 09:30:00 AM","5285846","42.77","40.30"
"RooseveltWay_NE80thSt","POINT (-122.31765 47.692098)","2026 Apr 15 09:16:00 AM","7030723","43.72","43.72"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:26:00 AM","6585712","45.60","39.61"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:27:00 AM","6585713","45.60","39.51"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:28:00 AM","6585714","45.60","39.44"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:29:00 AM","6585715","45.60","39.67"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:30:00 AM","6585716","45.60","39.69"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:31:00 AM","6585717","45.60","39.54"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:32:00 AM","6585718","45.60","39.36"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:33:00 AM","6585719","45.60","39.13"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:34:00 AM","6585720","45.60","38.87"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:35:00 AM","6585721","45.60","38.84"
"AuroraBridge","POINT (-122.347278 47.643174)","2026 Apr 15 08:36:00 AM","6585722","45.60","39.34"
